industry_code,industry_name,candidate_type,recommendation_grade,related_target,uqer_indic_id,uqer_name,name_en,frequency,unit,stat_type,region,country,source,api,begin_date,end_date,is_update,recommendation_reason,key_risk,memo_cn
801880,汽车,历史精确候选,C,中国:出口数量:乘用车:当月值,2070201004,出口数量:汽车:乘用车:总计:当月值,Export Volume: Automobile: Passenger Vehicles: Total: Current Value (Month),月,辆,当期值,全国,中国,Datayes!,getEcoDataIndAutomobile,2016-01-31,2023-12-31,1,乘用车出口总计当月值，统计对象准确。,仅更新到 2023-12，适合历史对账，不适合当前跟踪。,
801880,汽车,历史精确候选,C,中国:出口数量:商用车:当月同比,2070201104,出口数量:汽车:商用车:总计:当月同比,Export Volume: Automobile: Commercial Vehicles: Total: Month YoY,月,%,当期同比,全国,中国,Datayes!,getEcoDataIndAutomobile,2016-01-31,2023-12-31,1,商用车出口总计当月同比，优于各动力/车型子项。,仅更新到 2023-12。,
801880,汽车,历史精确候选,C,中国:销量:大型客车,2070125996,大型客车销量:当月值,Large BusSales Volume: Current Value,月,辆,当期值,全国,中国,Datayes!,getEcoDataIndAutomobile,2016-01-31,2023-12-31,1,大型客车销量当月值，优于环比指标。,仅更新到 2023-12。,
801890,机械设备,更优替代候选,A,中国:产量:金属切削机床:当月同比,1020001637,产量:金属切削机床:当月同比,Metal Cutting Machine Tools: Output: YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataChina,1997-02-28,2026-06-30,1,全国金属切削机床产量当月同比，与原指标直接对应。,国家统计局规模以上工业口径可能调整。,
801890,机械设备,更优替代候选,A,中国:销量:挖掘机:当月同比,2080111196,销量:挖掘机:当月同比,Sales Volume: Excavators: Month YoY,月,%,当期同比,全国,中国,中国工程机械工业协会,getEcoDataIndMachineryequipment,2008-01-31,2026-06-30,1,全国挖掘机销量当月同比，与原目标直接对应。,协会样本口径变更需跟踪。,
801950,煤炭,新增行业指标,A,,2020000016,动力煤:期货结算价,Futures Settlement Price: Power Coal,日,元/吨,当期值,,中国,郑州商品交易所,getEcoDataIndEnergy,2013-09-26,2026-08-07,1,动力煤期货日频结算价，提供煤炭行业高频价格预期。,政策管制与流动性变化可能削弱价格代表性。,
801950,煤炭,更优替代候选,A,中国:产量:原煤:当月同比,2020100021,产量:原煤:当月同比,Raw Coal: Production: YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataIndEnergy,1995-01-31,2026-06-30,1,全国原煤产量当月同比，与原指标直接对应。,统计口径调整和安全检查会造成跳变。,
801960,石油石化,更优替代候选,A,美国:现货价:WTI原油,2020701056,现货价:WTI:原油,Spot Price: WTI: Crude Oil,日,美元/桶,当期值,,,Datayes!,getEcoDataIndEnergy,2019-06-24,2026-07-02,1,WTI 原油现货价日频，与原指标名称、单位直接对应。,历史从 2019 年开始；可另用 EIA 长历史版本。,
801960,石油石化,新增行业指标,A,,2020656366,美国:EIA原油库存,US: EIA Crude Oil Inventories,周,万桶,当期值,美国,美国,EIA,getEcoDataIndEnergy,1982-08-20,2026-07-31,1,美国 EIA 原油库存周频，是全球油价与炼化周期的重要供需变量。,美国地区指标，不代表中国库存；作为全球油市代理使用。,
801960,石油石化,更优替代候选,A,中国:产量:天然气:当月值,1020001547,产量:天然气:当月值,Output: Natural Gas,月,亿立方米,当期值,全国,中国,国家统计局,getEcoDataChina,1986-02-28,2026-06-30,1,全国天然气产量当月值，与原指标直接对应。,需保留国家统计局 1—2 月合并规则。,
801960,石油石化,更优替代候选,A,中国:表观消费量:天然气:累计值,2030700054,表观消费量:天然气:累计值,Apparent Consumption: Natural Gas: Cumulative Value,月,亿立方米,累计值,全国,中国,Datayes!,getEcoDataIndChemical,2019-02-28,2026-06-30,1,全国天然气表观消费量累计值，与原指标直接对应。,累计值需转换为单月或同比后再用于景气度。,
